,Class,Precision,Recall,F1 Score
0,[A1010],1.0,0.9701492537313433,0.9848484848484849
1,[A1020],1.0,0.9836065573770492,0.9917355371900827
2,[A1030],0.9466666666666667,1.0,0.9726027397260273
3,[A2010],0.961038961038961,1.0,0.9801324503311257
4,[A2020],0.9166666666666666,0.8461538461538461,0.8799999999999999
5,[B1010],0.9970178926441352,0.9960278053624627,0.9965226030799802
6,[B1020],0.992,0.9465648854961832,0.96875
7,[B2010],0.9981916817359855,0.9981916817359855,0.9981916817359855
8,[B2020],1.0,1.0,1.0
9,[B2030],1.0,0.9333333333333333,0.9655172413793104
10,[B3010],0.8787878787878788,0.9508196721311475,0.9133858267716536
11,[B3020],0.0,0.0,0.0
12,[C1010],0.99800796812749,0.943502824858757,0.9699903194578896
13,[C1020],1.0,1.0,1.0
14,[C1030],0.9821428571428571,1.0,0.9909909909909909
15,[C2010],0.7387387387387387,1.0,0.8497409326424871
16,[C2020],1.0,1.0,1.0
17,[C3010],0.9984326018808778,0.9922118380062306,0.9953125
18,[C3020],0.9980952380952381,1.0,0.9990467111534795
19,[C3030],0.9915730337078652,1.0,0.995768688293371
20,[D1010],1.0,1.0,1.0
21,[D1020],1.0,1.0,1.0
22,[D1090],1.0,1.0,1.0
23,[D2010],1.0,1.0,1.0
24,[D2020],0.9912280701754386,1.0,0.9955947136563876
25,[D2030],0.8947368421052632,1.0,0.9444444444444444
26,[D2040],0.0,0.0,0.0
27,[D2090],0.0,0.0,0.0
28,[D3010],1.0,1.0,1.0
29,[D3020],1.0,0.8823529411764706,0.9375
30,[D3030],0.9859154929577465,1.0,0.9929078014184397
31,[D3040],0.9919028340080972,0.9919028340080972,0.9919028340080972
32,[D3050],0.9731903485254692,1.0,0.9864130434782609
33,[D3060],1.0,0.96,0.9795918367346939
34,[D3070],0.9565217391304348,1.0,0.9777777777777777
35,[D4010],1.0,1.0,1.0
36,[D4020],1.0,0.9850746268656716,0.9924812030075187
37,[D4030],1.0,1.0,1.0
38,[D4090],1.0,1.0,1.0
39,[D5010],1.0,0.9607843137254902,0.98
40,[D5020],0.967032967032967,0.9635036496350365,0.9652650822669104
41,[D5030],1.0,0.9083969465648855,0.9520000000000001
42,[D5090],0.9142857142857143,0.9896907216494846,0.9504950495049506
43,[E1010],1.0,0.7142857142857143,0.8333333333333333
44,[E1020],0.8333333333333334,0.8333333333333334,0.8333333333333334
45,[E1030],0.0,0.0,0.0
46,[E1090],0.9636363636363636,0.9814814814814815,0.9724770642201834
47,[E2010],0.9879518072289156,1.0,0.993939393939394
48,[E2020],1.0,1.0,1.0
